step,fmin,action
0,0.5799418408445581,update_method
1,0.7076661452065508,update_method
2,0.2182878300450215,update_method
3,0.07634276776484028,update_method
4,0.07634276776484028,create_method
5,0.652064397816186,call_method
6,0.23053104612306707,update_method
7,0.8249057655299643,update_method
8,0.7656576688358826,update_method
9,0.9106602705639674,remove_method
10,0.7520240357971425,update_method
11,0.8484141977889684,update_method
12,0.5765311659206709,update_method
13,0.7505488202520494,update_method
14,0.1271698890919628,update_method
15,0.1271698890919628,create_method
16,0.0022565792070848856,call_method
17,0.0022565792070848856,update_method
18,0.0022565792070848856,update_method
19,0.0022565792070848856,update_method
20,0.0022565792070848856,call_method
21,0.5793978547862948,remove_method
22,0.32938024893222895,create_method
23,0.5793978547862948,call_method
24,0.7165048153528997,call_method
25,0.4348934744363495,call_method
26,0.7165048153528997,remove_method
27,0.9283170544010562,update_method
28,0.4609228302758893,update_method
29,0.26183217440353745,update_method
30,0.26183217440353745,create_method
31,0.26183217440353745,create_method
32,0.2310291601603961,call_method
33,0.41372174395453654,call_method
34,0.03632340347538954,create_method
35,0.03632340347538954,update_method
36,0.03632340347538954,call_method
37,0.03632340347538954,update_method
38,0.03632340347538954,update_method
39,0.03632340347538954,call_method
40,0.03632340347538954,update_method
41,0.03632340347538954,create_method
42,0.03632340347538954,call_method
43,0.31866443797580124,call_method
44,0.31866443797580124,update_method
45,0.10096329694084138,update_method
46,0.31866443797580124,update_method
47,0.31866443797580124,update_method
48,0.10813574698656736,update_method
49,0.31866443797580124,call_method
50,0.31866443797580124,call_method
51,0.09192991840674702,update_method
52,0.31866443797580124,update_method
53,0.40625873776331545,remove_method
54,0.045932275130899924,update_method
55,0.40625873776331545,update_method
56,0.40625873776331545,update_method
57,0.40625873776331545,create_method
58,0.29324222688424506,update_method
59,0.021166970573816002,update_method
60,0.021166970573816002,call_method
61,0.3080392104303886,call_method
62,0.0890097414542732,remove_method
63,0.170216343541437,update_method
64,0.41372174395453654,update_method
65,0.41372174395453654,call_method
66,0.41372174395453654,update_method
67,0.41372174395453654,update_method
68,0.11389635885947758,update_method
69,0.41372174395453654,call_method
70,0.12017404006271992,update_method
71,0.41372174395453654,update_method
72,0.35036188150565717,call_method
73,0.35036188150565717,call_method
74,0.3507796806986474,call_method
75,0.41372174395453654,update_method
76,0.4030790885365524,call_method
77,0.41372174395453654,call_method
78,0.09680289945244824,call_method
79,0.06706211138652618,call_method
80,0.06706211138652618,call_method
81,0.0069499976072099345,call_method
82,0.09680289945244824,remove_method
83,0.44103145669561017,update_method
84,0.44103145669561017,create_method
85,0.5870174349594455,remove_method
86,0.5952399296619586,update_method
87,0.03801121366731419,update_method
88,0.5952399296619586,update_method
89,0.5952399296619586,create_method
90,0.33248040550301494,update_method
91,0.5952399296619586,update_method
92,0.10341281881814879,call_method
93,0.09773769037483437,update_method
94,0.5952399296619586,update_method
95,0.5952399296619586,call_method
96,0.5952399296619586,create_method
97,0.5952399296619586,call_method
98,0.5952399296619586,create_method
99,0.29792925836919015,call_method
100,0.5952399296619586,remove_method
101,0.7123220671950466,call_method
102,0.7123220671950466,call_method
103,0.11130593498611141,create_method
104,0.7123220671950466,remove_method
105,0.22433298633051968,update_method
106,0.7123220671950466,remove_method
107,0.4423586604798405,create_method
108,0.4423586604798405,update_method
109,0.020258666304544648,create_method
110,0.020258666304544648,call_method
111,0.020258666304544648,call_method
112,0.020258666304544648,call_method
113,0.017539560559688083,call_method
114,0.017539560559688083,call_method
115,0.017539560559688083,update_method
116,0.017539560559688083,update_method
117,0.017539560559688083,call_method
118,0.017539560559688083,update_method
119,0.6438024509054464,call_method
120,0.6438024509054464,update_method
121,0.21141465094356104,update_method
122,0.6438024509054464,update_method
123,0.2123553001433348,call_method
124,0.2123553001433348,update_method
125,0.2123553001433348,call_method
126,0.2123553001433348,update_method
127,0.2123553001433348,call_method
128,0.13553620311611603,remove_method
129,0.13553620311611603,call_method
130,0.13553620311611603,call_method
131,0.13553620311611603,update_method
132,0.13553620311611603,update_method
133,0.13553620311611603,call_method
134,0.14977236384659032,call_method
135,0.14977236384659032,call_method
136,0.14977236384659032,create_method
137,0.41717112055938377,update_method
138,0.41717112055938377,create_method
139,0.7053753401119395,update_method
140,0.7053753401119395,call_method
141,0.15071314414663506,call_method
142,0.15071314414663506,update_method
143,0.07119454265176095,call_method
144,0.2361811615113807,call_method
145,0.2189418839562166,update_method
146,0.2189418839562166,call_method
147,0.20588334144390463,call_method
148,0.09182773431668112,call_method
149,0.09182773431668112,update_method
150,0.09182773431668112,update_method
151,0.11593670066820994,call_method
152,0.11593670066820994,update_method
153,0.11593670066820994,call_method
154,0.11593670066820994,update_method
155,0.11593670066820994,update_method
156,0.11593670066820994,call_method
157,0.11593670066820994,call_method
158,0.11593670066820994,update_method
159,0.05958091689677292,call_method
160,0.05958091689677292,call_method
161,0.05958091689677292,update_method
162,0.025821144610722824,update_method
163,0.05958091689677292,update_method
164,0.05958091689677292,update_method
165,0.05958091689677292,create_method
166,0.05958091689677292,call_method
167,0.05958091689677292,update_method
168,0.644691019633671,remove_method
169,0.644691019633671,call_method
170,0.2462185637233939,create_method
171,0.2462185637233939,update_method
172,0.2462185637233939,call_method
173,0.2462185637233939,update_method
174,0.2462185637233939,call_method
175,0.2462185637233939,call_method
176,0.2462185637233939,call_method
177,0.1005803413821349,call_method
178,0.1005803413821349,update_method
179,0.1005803413821349,update_method
180,0.1005803413821349,update_method
181,0.1005803413821349,update_method
182,0.1005803413821349,call_method
183,0.1005803413821349,call_method
184,0.1005803413821349,update_method
185,0.04489652906916353,update_method
186,0.1005803413821349,update_method
187,0.1005803413821349,update_method
188,0.1005803413821349,update_method
189,0.21622022840709376,call_method
190,0.2462185637233939,call_method
191,0.2462185637233939,update_method
192,0.2462185637233939,create_method
193,0.2462185637233939,update_method
194,0.2462185637233939,update_method
195,0.1939216380066322,update_method
196,0.1939216380066322,call_method
197,0.1939216380066322,create_method
198,0.1939216380066322,call_method
199,0.1939216380066322,call_method
200,0.1994611644645703,update_method
201,0.2462185637233939,update_method
202,0.14799899791367277,update_method
203,0.2462185637233939,update_method
204,0.2462185637233939,update_method
205,0.2462185637233939,update_method
206,0.2462185637233939,call_method
207,0.2462185637233939,update_method
208,0.2462185637233939,call_method
209,0.2462185637233939,update_method
210,0.2462185637233939,create_method
211,0.2462185637233939,call_method
212,0.1300577094505171,call_method
213,0.1300577094505171,call_method
214,0.2462185637233939,remove_method
215,0.011294695890715856,update_method
216,0.23649035688751285,update_method
217,0.17141354805150266,call_method
218,0.17141354805150266,call_method
219,0.23649035688751285,call_method
220,0.7053753401119395,update_method
221,0.7053753401119395,call_method
222,0.12369742621890722,call_method
223,0.12369742621890722,update_method
224,0.12369742621890722,create_method
225,0.46149888469877887,call_method
226,0.46149888469877887,call_method
227,0.103018644052006,call_method
228,0.103018644052006,call_method
229,0.08818989539734712,call_method
230,0.08818989539734712,update_method
231,0.08818989539734712,call_method
232,0.103018644052006,remove_method
233,0.103018644052006,create_method
234,0.103018644052006,call_method
235,0.103018644052006,create_method
236,0.103018644052006,update_method
237,0.103018644052006,call_method
238,0.103018644052006,call_method
239,0.06176651578197667,call_method
240,0.06176651578197667,call_method
241,0.103018644052006,update_method
242,0.103018644052006,update_method
243,0.103018644052006,call_method
244,0.103018644052006,call_method
245,0.103018644052006,update_method
246,0.103018644052006,update_method
247,0.05801962041062414,update_method
248,0.05801962041062414,call_method
249,0.24839103961343523,update_method
250,0.19112930247630622,update_method
251,0.24839103961343523,update_method
252,0.2694003505640069,remove_method
253,0.2694003505640069,call_method
254,0.2694003505640069,update_method
255,0.2694003505640069,update_method
256,0.2694003505640069,call_method
257,0.2694003505640069,update_method
258,0.2694003505640069,update_method
259,0.2694003505640069,call_method
260,0.2694003505640069,update_method
261,0.2694003505640069,update_method
262,0.2694003505640069,update_method
263,0.2694003505640069,update_method
264,0.2694003505640069,call_method
265,0.2694003505640069,call_method
266,0.3102878475515287,call_method
267,0.28912033687423144,create_method
268,0.28912033687423144,update_method
269,0.28912033687423144,update_method
270,0.28912033687423144,call_method
271,0.28912033687423144,update_method
272,0.04742367082323351,update_method
273,0.20794250365604428,update_method
274,0.28912033687423144,update_method
275,0.28912033687423144,call_method
276,0.28912033687423144,call_method
277,0.273218389358159,update_method
278,0.28912033687423144,update_method
279,0.008406639498860335,update_method
280,0.28912033687423144,update_method
281,0.28912033687423144,call_method
282,0.28912033687423144,update_method
283,0.15563440257560257,call_method
284,0.15563440257560257,update_method
285,0.28912033687423144,call_method
286,0.28912033687423144,update_method
287,0.28912033687423144,create_method
288,0.2922749652235127,call_method
289,0.2922749652235127,update_method
290,0.2922749652235127,update_method
291,0.140087875336388,update_method
292,0.140087875336388,call_method
293,0.007985689183995337,call_method
294,0.007985689183995337,update_method
295,0.007985689183995337,update_method
296,0.2939307409201668,call_method
297,0.18825633723079715,create_method
298,0.18825633723079715,create_method
299,0.18825633723079715,update_method
300,0.18825633723079715,call_method
301,0.0952876590196784,call_method
302,0.0952876590196784,create_method
303,0.18825633723079715,update_method
304,0.15476536760642967,update_method
305,0.18825633723079715,update_method
306,0.18825633723079715,call_method
307,0.18825633723079715,call_method
308,0.10662121390313717,call_method
309,0.10662121390313717,update_method
310,0.10662121390313717,create_method
311,0.18825633723079715,remove_method
312,0.18825633723079715,call_method
313,0.18825633723079715,update_method
314,0.18825633723079715,update_method
315,0.14923061737098486,update_method
316,0.18825633723079715,call_method
317,0.015302852481914875,update_method
318,0.015302852481914875,call_method
319,0.18825633723079715,update_method
320,0.18825633723079715,call_method
321,0.12105189056951304,update_method
322,0.18825633723079715,update_method
323,0.18825633723079715,update_method
324,0.18825633723079715,update_method
325,0.18825633723079715,call_method
326,0.19858944452817517,remove_method
327,0.19858944452817517,call_method
328,0.04192826453445753,update_method
329,0.06531329962454069,update_method
330,0.06531329962454069,call_method
331,0.06531329962454069,create_method
332,0.19858944452817517,remove_method
333,0.19858944452817517,call_method
334,0.06231813816790488,call_method
335,0.19858944452817517,call_method
336,0.19858944452817517,call_method
337,0.10620522298366131,update_method
338,0.19858944452817517,update_method
339,0.12416305313093423,update_method
340,0.07549657006814214,call_method
341,0.12416305313093423,call_method
342,0.12416305313093423,call_method
343,0.12416305313093423,create_method
344,0.16788964361444192,update_method
345,0.16788964361444192,call_method
346,0.16788964361444192,update_method
347,0.16788964361444192,update_method
348,0.16788964361444192,update_method
349,0.05862571775511394,call_method
350,0.05862571775511394,call_method
351,0.05862571775511394,update_method
352,0.05862571775511394,update_method
353,0.05862571775511394,call_method
354,0.05862571775511394,call_method
355,0.05862571775511394,call_method
356,0.05862571775511394,update_method
357,0.05862571775511394,call_method
358,0.05862571775511394,update_method
359,0.05862571775511394,update_method
360,0.05862571775511394,create_method
361,0.24522807786390433,call_method
362,0.061394805301850486,call_method
363,0.013040539216834346,call_method
364,0.061394805301850486,remove_method
365,0.061394805301850486,update_method
366,0.16000183085608843,remove_method
367,0.057320088708888495,update_method
368,0.057320088708888495,create_method
369,0.057320088708888495,create_method
370,0.057320088708888495,create_method
371,0.057320088708888495,call_method
372,0.20385769131393117,update_method
373,0.20385769131393117,update_method
374,0.08484287732715856,update_method
375,0.20385769131393117,call_method
376,0.20385769131393117,update_method
377,0.20385769131393117,call_method
378,0.20385769131393117,update_method
379,0.20385769131393117,call_method
380,0.20385769131393117,create_method
381,0.20385769131393117,update_method
382,0.20385769131393117,create_method
383,0.20385769131393117,update_method
384,0.20385769131393117,call_method
385,0.20385769131393117,call_method
386,0.20385769131393117,update_method
387,0.20385769131393117,update_method
388,0.20385769131393117,call_method
389,0.20385769131393117,create_method
390,0.20385769131393117,update_method
391,0.20385769131393117,update_method
392,0.20920703213140013,remove_method
393,0.20920703213140013,call_method
394,0.20920703213140013,call_method
395,0.20920703213140013,call_method
396,0.04434516184761128,call_method
397,0.04434516184761128,update_method
398,0.04434516184761128,update_method
399,0.04434516184761128,call_method
400,0.04434516184761128,update_method
401,0.04434516184761128,create_method
402,0.04434516184761128,update_method
403,0.04434516184761128,call_method
404,0.04434516184761128,update_method
